               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.039068,            0.025482,           0.0069686,             0.50008,             0.47625,             0.44824,             0.22817,            0.052751,            0.017867,            0.029335,           0.0076636,           0.0076636,           0.0076636
                 120,            0.038591,            0.024963,           0.0062659,             0.55709,             0.47241,             0.44646,             0.22916,            0.051965,            0.017651,            0.031246,           0.0076438,           0.0076438,           0.0076438
                 121,            0.039021,            0.024691,           0.0054605,             0.54192,             0.43715,             0.43675,              0.2397,            0.051799,            0.017644,            0.030284,            0.007624,            0.007624,            0.007624
                 122,             0.03859,            0.025549,           0.0049808,             0.49222,             0.47014,             0.40949,             0.21355,            0.052774,            0.017887,            0.030639,           0.0076042,           0.0076042,           0.0076042
                 123,              0.0387,            0.024739,           0.0054676,             0.55525,             0.40966,             0.42953,             0.23324,            0.052239,            0.017267,             0.02933,           0.0075844,           0.0075844,           0.0075844
                 124,            0.038624,            0.024699,           0.0057231,             0.55555,             0.41315,             0.41772,             0.22101,            0.051879,            0.017675,             0.02795,           0.0075646,           0.0075646,           0.0075646
                 125,            0.038971,            0.025777,           0.0052388,             0.56394,              0.4441,             0.44449,             0.23894,            0.052176,            0.017489,            0.030927,           0.0075448,           0.0075448,           0.0075448
                 126,            0.038197,            0.025008,           0.0058328,             0.56176,             0.44457,             0.43249,             0.23474,             0.05093,            0.017541,            0.028871,            0.007525,            0.007525,            0.007525
                 127,            0.037764,            0.025007,           0.0052047,             0.52591,              0.4393,             0.42544,             0.23113,            0.051978,             0.01765,            0.031252,           0.0075052,           0.0075052,           0.0075052
                 128,            0.038868,             0.02466,           0.0060584,             0.46731,             0.45266,             0.39939,             0.20579,             0.05537,            0.019169,             0.02759,           0.0074854,           0.0074854,           0.0074854
                 129,             0.03822,            0.024822,           0.0064162,             0.49568,             0.45134,             0.44204,             0.23182,            0.053274,            0.018072,            0.024531,           0.0074656,           0.0074656,           0.0074656
